ID,Title,Epic,Status,Priority,Version,Horizon,Tech category,Assignee,Due date,Public
CAT-01,Synchronisation du catalogue Pokémon via TCGdex (microservice fetch),CAT — Catalogue & Recherche,Done,P0,V0.1,Shipped,,,,true
CAT-02,Modèles Card / Set / Series et routes CRUD,CAT — Catalogue & Recherche,Done,P0,V0.1,Shipped,,,,true
CAT-03,Page d'accueil avec carte aléatoire,CAT — Catalogue & Recherche,Done,P2,V0.1,Shipped,,,,true
CAT-04,Recherche de cartes par nom,CAT — Catalogue & Recherche,Done,P0,V0.1,Shipped,,,,true
CAT-05,"Barre de recherche globale avec raccourcis clavier (Ctrl+K, /)",CAT — Catalogue & Recherche,Done,P1,V0.2,Shipped,,,,true
CAT-06,"Filtres avancés du catalogue (rareté, extension, type, état, devise)",CAT — Catalogue & Recherche,Done,P1,V0.3,Shipped,,,,true
CAT-07,Localisation multilingue des cartes (module translation),CAT — Catalogue & Recherche,Done,P1,V0.4,Shipped,,,,true
CAT-08,"Produits scellés : boosters, displays, coffrets",CAT — Catalogue & Recherche,Done,P1,V0.4,Shipped,,,,true
CAT-09,Master Set et gestion dynamique des raretés par extension,CAT — Catalogue & Recherche,Done,P2,V0.5,Shipped,,,,true
CAT-10,CardSyncService : synchronisation automatisée du catalogue (dont extension Pocket),CAT — Catalogue & Recherche,Done,P1,V0.5,Shipped,,,,true
CAT-11,Migration des images vers le CDN Cloudflare R2,CAT — Catalogue & Recherche,Done,P1,V0.5,Shipped,,,,true
CAT-12,Recherche visuelle par similarité (embeddings CLIP + pgvector),CAT — Catalogue & Recherche,Done,P1,V0.5,Shipped,,,,true
CAT-13,Cache et indexation CLIP pour tenir la charge,CAT — Catalogue & Recherche,In progress,P2,V0.6,Now,Back-end,raphplt,2026-09-30,true
CAT-14,Historique de cotation multi-sources par carte,CAT — Catalogue & Recherche,Todo,P1,V1.1,Next,,,,true
CAT-15,Alertes de prix : être notifié quand une carte passe sous un seuil,CAT — Catalogue & Recherche,Todo,P2,V1.1,Next,,,,true
CAT-16,Abstraction du modèle de carte pour supporter d'autres TCG,CAT — Catalogue & Recherche,Todo,P0,V2.0,Later,,,,true
CAT-17,"Support Yu-Gi-Oh! (catalogue, formats, règles)",CAT — Catalogue & Recherche,Todo,P1,V2.0,Later,,,,true
CAT-18,Support Magic: The Gathering,CAT — Catalogue & Recherche,Todo,P1,V2.0,Later,,,,true
CAT-19,Support One Piece Card Game et Lorcana,CAT — Catalogue & Recherche,Backlog,P3,,Backlog,,,,false
COL-01,Entités Collection et CollectionItem,COL — Collection & Decks,Done,P0,V0.2,Shipped,,,,true
COL-02,Page « Ma collection » avec listing et filtres,COL — Collection & Decks,Done,P0,V0.2,Shipped,,,,true
COL-03,Wishlist (liste de souhaits),COL — Collection & Decks,Done,P1,V0.2,Shipped,,,,true
COL-04,Favoris,COL — Collection & Decks,Done,P2,V0.3,Shipped,,,,true
COL-05,"Suivi de l'état des cartes (card-state : NM, EX, GD…)",COL — Collection & Decks,Done,P1,V0.3,Shipped,,,,true
COL-06,"Entités Deck, DeckCard et DeckFormat",COL — Collection & Decks,Done,P0,V0.2,Shipped,,,,true
COL-07,"Pages « Mes decks » : liste, détail, création, édition",COL — Collection & Decks,Done,P0,V0.3,Shipped,,,,true
COL-08,"Formulaire interactif de deck avec sélection de cartes, quantités et rôles",COL — Collection & Decks,Done,P0,V0.5,Shipped,,,,true
COL-09,Dupliquer un deck existant,COL — Collection & Decks,Done,P2,V0.4,Shipped,,,,true
COL-10,Valorisation de la collection sur le tableau de bord,COL — Collection & Decks,Done,P1,V0.4,Shipped,,,,true
COL-11,"Export de deck en PDF, CSV ou image",COL — Collection & Decks,In progress,P2,V0.6,Now,Front-end,aymardl,2026-08-31,true
COL-12,Comparateur de decks (radar comparatif multi-decks),COL — Collection & Decks,In progress,P2,V0.6,Now,Front-end,raphplt,2026-09-30,true
COL-13,Import de deck depuis une decklist texte au format officiel,COL — Collection & Decks,Todo,P2,V1.0,Next,Front-end,aymardl,2026-12-15,true
COL-14,Partage public d'un deck via URL courte,COL — Collection & Decks,Todo,P1,V1.0,Next,Full-stack,aymardl,2026-11-30,true
COL-15,"Statistiques de complétion par extension (pourcentage, cartes manquantes)",COL — Collection & Decks,Todo,P1,V1.1,Next,,,,true
COL-16,Historique de valorisation de la collection dans le temps (courbe),COL — Collection & Decks,Backlog,P2,,Backlog,,,,false
COL-17,Attestation de collection exportable en PDF (usage assurance),COL — Collection & Decks,Backlog,P3,,Backlog,,,,false
MKT-01,Entité Listing et formulaire de mise en vente,MKT — Marketplace & Paiement,Done,P0,V0.2,Shipped,,,,true
MKT-02,"Catalogue marketplace : filtres, tri, pagination",MKT — Marketplace & Paiement,Done,P0,V0.2,Shipped,,,,true
MKT-03,"Section « Mes ventes » : édition, suppression, activation",MKT — Marketplace & Paiement,Done,P0,V0.2,Shipped,,,,true
MKT-04,"Refonte complète : accueil, catalogue, détail carte, profil vendeur, fil d'Ariane",MKT — Marketplace & Paiement,Done,P0,V0.3,Shipped,,,,true
MKT-05,Page détail carte : prix min / max / moyen et historique graphique,MKT — Marketplace & Paiement,Done,P1,V0.3,Shipped,,,,true
MKT-06,"Profil vendeur public avec statistiques, note moyenne et annonces actives",MKT — Marketplace & Paiement,Done,P1,V0.3,Shipped,,,,true
MKT-07,Panier (user_cart) et entités Order / OrderItem,MKT — Marketplace & Paiement,Done,P0,V0.3,Shipped,,,,true
MKT-08,Intégration Stripe : payment intent et webhook,MKT — Marketplace & Paiement,Done,P0,V0.4,Shipped,,,,true
MKT-09,Page de paiement (checkout) et récapitulatif de commande,MKT — Marketplace & Paiement,Done,P0,V0.4,Shipped,,,,true
MKT-10,Reçus de commande et historique d'achats,MKT — Marketplace & Paiement,Done,P1,V0.4,Shipped,,,,true
MKT-11,Back-office d'administration des commandes,MKT — Marketplace & Paiement,Done,P1,V0.4,Shipped,,,,true
MKT-12,Support des produits scellés dans tout le tunnel d'achat,MKT — Marketplace & Paiement,Done,P1,V0.4,Shipped,,,,true
MKT-13,"Tracking analytique des cartes (vues, recherches, favoris, ajouts panier)",MKT — Marketplace & Paiement,Done,P2,V0.3,Shipped,,,,true
MKT-14,Métriques de popularité et cartes tendances,MKT — Marketplace & Paiement,Done,P2,V0.3,Shipped,,,,true
MKT-15,Reversement automatique aux vendeurs (Stripe Connect) — cf. ADR-005,MKT — Marketplace & Paiement,Todo,P0,V1.0,Next,Back-end,raphplt,2026-11-30,true
MKT-16,Avis et notation des vendeurs après transaction,MKT — Marketplace & Paiement,Todo,P0,V1.1,Next,,,,true
MKT-17,"Gestion des litiges commerciaux (non-réception, carte non conforme)",MKT — Marketplace & Paiement,Todo,P0,V1.1,Next,,,,true
MKT-18,Vérification d'identité vendeur (KYC) au-delà d'un seuil de chiffre d'affaires,MKT — Marketplace & Paiement,Todo,P1,V1.1,Next,,,,true
MKT-19,Commission de service prélevée sur les transactions,MKT — Marketplace & Paiement,Todo,P1,V2.5,Later,,,,true
MKT-20,Échange direct de cartes entre utilisateurs (trade) sans transaction monétaire,MKT — Marketplace & Paiement,Backlog,P2,,Backlog,,,,false
MKT-21,Système d'enchères à durée limitée,MKT — Marketplace & Paiement,Backlog,P3,,Backlog,,,,false
TRN-01,Entité Tournament et formulaire de création (réservé aux comptes pro),TRN — Tournois & Compétition,Done,P0,V0.2,Shipped,,,,true
TRN-02,Listing des tournois avec filtres,TRN — Tournois & Compétition,Done,P0,V0.2,Shipped,,,,true
TRN-03,Inscription à un tournoi et affichage des participants,TRN — Tournois & Compétition,Done,P0,V0.2,Shipped,,,,true
TRN-04,"Moteur de tournoi : brackets, seeding, transitions d'état, standings",TRN — Tournois & Compétition,Done,P0,V0.4,Shipped,,,,true
TRN-05,Matchs et saisie des scores,TRN — Tournois & Compétition,Done,P0,V0.4,Shipped,,,,true
TRN-06,Historique des tournois d'un joueur,TRN — Tournois & Compétition,Done,P1,V0.4,Shipped,,,,true
TRN-07,Classement ELO et module ranking,TRN — Tournois & Compétition,Done,P1,V0.4,Shipped,,,,true
TRN-08,Leaderboard global public des joueurs,TRN — Tournois & Compétition,Done,P1,V0.5,Shipped,,,,true
TRN-09,"Rapports et analytics organisateurs (participation, activité, performances)",TRN — Tournois & Compétition,Done,P1,V0.5,Shipped,,,,true
TRN-10,Notifications de tournoi in-app et push,TRN — Tournois & Compétition,Done,P1,V0.5,Shipped,,,,true
TRN-11,Système de litiges et arbitrage des scores contestés,TRN — Tournois & Compétition,In progress,P1,V0.6,Now,Back-end,raphplt,2026-09-15,true
