Issue,Item id,Type,ID,Titre du backlog,Origine,Score,2e candidat
147 défis quotidiens hebdomadaires,PVTI_lAHOBpi5Is4AzO_Wzgpw-Bo,PullRequest,,,manuel,1.00,COL-11 (0.15)
API Decks : CRUD + add/remove + clone,PVTI_lAHOBpi5Is4AzO_WzgdnZD8,Issue,COL-06,"Entités Deck, DeckCard et DeckFormat",manuel,1.00,MOB-03 (0.18)
Ajout des items scellés,PVTI_lAHOBpi5Is4AzO_Wzgpgnes,Issue,,,aucun,0.26,CAT-08 (0.23)
Ajout du coverage des tests,PVTI_lAHOBpi5Is4AzO_Wzgicq9Q,Issue,,,aucun,0.20,QUA-05 (0.20)
Ajouter des filtres sur la route GET /tournois,PVTI_lAHOBpi5Is4AzO_Wzgb_Zxk,Issue,TRN-02,Listing des tournois avec filtres,auto,0.38,TRN-06 (0.26)
Ajouter des messages d'erreur personnalisés (HttpException),PVTI_lAHOBpi5Is4AzO_Wzgb_dug,Issue,,,aucun,0.21,IA-03 (0.20)
Ajouter des skeletons/loaders côté front,PVTI_lAHOBpi5Is4AzO_Wzgb_d9o,Issue,,,manuel,1.00,MOB-06 (0.18)
Ajouter des tests unitaires pour les services NestJS,PVTI_lAHOBpi5Is4AzO_Wzgb_de4,Issue,QUA-04,Tests unitaires NestJS (721 tests verts),manuel,1.00,QUA-03 (0.28)
Ajouter le filtre ?cardId et ?userId sur GET /ventes,PVTI_lAHOBpi5Is4AzO_Wzgb_cpc,Issue,,,aucun,0.18,MKT-01 (0.18)
Ajouter un middleware de log des requêtes API,PVTI_lAHOBpi5Is4AzO_Wzgb_d24,Issue,QUA-09,Middleware de journalisation et d'audit des requêtes API,manuel,1.00,SEC-03 (0.19)
Amélioration du système de prix,PVTI_lAHOBpi5Is4AzO_Wzgq5Rcg,Issue,,,aucun,0.33,QUA-06 (0.21)
Améliorations UX/UI pages collection,PVTI_lAHOBpi5Is4AzO_Wzgg4uMI,Issue,,,aucun,0.31,COL-10 (0.31)
Architecture de base et services API mobile,PVTI_lAHOBpi5Is4AzO_Wzgo-QVE,Issue,MOB-03,Services d'accès à l'API depuis le mobile,manuel,1.00,GME-02 (0.30)
"Authentification - Login, Register, Mot de passe oublié",PVTI_lAHOBpi5Is4AzO_Wzgo-Qsc,Issue,SEC-01,Authentification par JWT et sessions,manuel,1.00,SEC-01 (0.30)
Classement global des joueurs (ELO/points),PVTI_lAHOBpi5Is4AzO_WzgfZRL4,Issue,TRN-08,Leaderboard global public des joueurs,manuel,1.00,TRN-07 (0.37)
Compléter la partie Sealed Products,PVTI_lAHOBpi5Is4AzO_WzgqJY9s,Issue,CAT-08,"Produits scellés : boosters, displays, coffrets",manuel,1.00,MKT-04 (0.16)
"Configurer les environnements de développement (local, staging, production)",PVTI_lAHOBpi5Is4AzO_WzgXxsMQ,Issue,,,aucun,0.33,QUA-10 (0.19)
